Campaign,Ad group,Keyword,Match type,Status
Search-ES-Local-Mexico-2026,Visitar SLP,que hacer en san luis potosi,Phrase,Enabled
Search-ES-Local-Mexico-2026,Visitar SLP,turismo san luis potosi,Phrase,Enabled
Search-ES-Local-Mexico-2026,Visitar SLP,viajar a san luis potosi,Phrase,Enabled
Search-ES-Local-Mexico-2026,Visitar SLP,san luis potosi turismo,Phrase,Enabled
Search-ES-Local-Mexico-2026,Visitar SLP,parque tangamanga,Phrase,Enabled
Search-ES-Local-Mexico-2026,Visitar SLP,huasteca potosina,Phrase,Enabled
Search-ES-Local-Mexico-2026,Visitar SLP,centro historico san luis,Phrase,Enabled
Search-ES-Local-Mexico-2026,Visitar SLP,que ver en slp,Phrase,Enabled
Search-ES-Local-Mexico-2026,Visitar SLP,visitar san luis potosi,Broad,Enabled
Search-ES-Local-Mexico-2026,Visitar SLP,turismo slp,Broad,Enabled
Search-ES-Local-Mexico-2026,Mudarse a SLP,vivir en san luis potosi,Phrase,Enabled
Search-ES-Local-Mexico-2026,Mudarse a SLP,mudarse a san luis potosi,Phrase,Enabled
Search-ES-Local-Mexico-2026,Mudarse a SLP,calidad de vida slp,Phrase,Enabled
Search-ES-Local-Mexico-2026,Mudarse a SLP,expat san luis potosi,Phrase,Enabled
Search-ES-Local-Mexico-2026,Mudarse a SLP,como es vivir en slp,Phrase,Enabled
Search-ES-Local-Mexico-2026,Mudarse a SLP,san luis potosi para expats,Phrase,Enabled
Search-ES-Local-Mexico-2026,Mudarse a SLP,costo de vida san luis potosi,Phrase,Enabled
Search-ES-Local-Mexico-2026,Mudarse a SLP,expat slp,Broad,Enabled
Search-ES-Local-Mexico-2026,Mudarse a SLP,mudarse mexico slp,Broad,Enabled
Search-ES-Local-Mexico-2026,Brand Defense,san luis way,Exact,Enabled
Search-ES-Local-Mexico-2026,Brand Defense,sanluisway,Exact,Enabled
Search-ES-Local-Mexico-2026,Brand Defense,san luis way slp,Exact,Enabled
Search-ES-Local-Mexico-2026,Brand Defense,directorio san luis potosi,Exact,Enabled
Search-ES-Local-Mexico-2026,Brand Defense,san luis way newsletter,Phrase,Enabled
Search-DE-JA-Expat-Moonshot,DE-Umzug-Mexiko,umzug nach mexiko,Phrase,Enabled
Search-DE-JA-Expat-Moonshot,DE-Umzug-Mexiko,auswandern mexiko,Phrase,Enabled
Search-DE-JA-Expat-Moonshot,DE-Umzug-Mexiko,leben in mexiko,Phrase,Enabled
Search-DE-JA-Expat-Moonshot,DE-Umzug-Mexiko,mexiko expat,Phrase,Enabled
Search-DE-JA-Expat-Moonshot,DE-Umzug-Mexiko,san luis potosi deutsch,Phrase,Enabled
Search-DE-JA-Expat-Moonshot,DE-Umzug-Mexiko,auswandern mexiko,Broad,Enabled
Search-DE-JA-Expat-Moonshot,JA-Mexico-Iju,メキシコ 移住,Phrase,Enabled
Search-DE-JA-Expat-Moonshot,JA-Mexico-Iju,メキシコ 駐在,Phrase,Enabled
Search-DE-JA-Expat-Moonshot,JA-Mexico-Iju,メキシコ 生活,Phrase,Enabled
Search-DE-JA-Expat-Moonshot,JA-Mexico-Iju,サン・ルイス・ポトシ,Phrase,Enabled
Search-DE-JA-Expat-Moonshot,JA-Mexico-Iju,メキシコ 移住,Broad,Enabled
